gene,condition,k562_logfc_r,k562_donor_corr_mean,n_degs_mash
TAF6L,Rest,0.5460109483745847,0.670703914670062,1845.0
NCAPG2,Rest,0.5455632262174063,0.1303074901095259,466.0
TSC1,Rest,0.5454486431308057,0.6671262156296968,417.0
ELAVL1,Rest,0.5439198954724946,0.664927556802715,976.0
C16orf72,Rest,0.5430655061538603,0.6664143394239649,461.0
ELP5,Rest,0.5415546084598264,0.6729172667396973,219.0
VPS26B,Rest,0.5398743523130535,,53.0
DENR,Rest,0.5395811088165985,0.6125827295374654,1309.0
SCOC,Rest,0.5393471706377051,,14.0
UBA5,Rest,0.5384428689097509,0.5376110162752085,280.0
ARFGAP1,Rest,0.5377606149587097,,9.0
MBIP,Rest,0.5374312343679568,,33.0
RBFA,Rest,0.5367208994092219,,110.0
SLC25A1,Rest,0.536205535332526,,72.0
ZNF384,Rest,0.534790704896843,0.7447460257170474,64.0
DDX17,Rest,0.5342810466978571,0.5303856368932341,448.0
ATP5PO,Rest,0.5339701468728316,0.4466547340652125,182.0
NDUFA8,Rest,0.5335526178952442,0.2934078458257803,99.0
EMC2,Rest,0.5319603716847583,,58.0
NKAPD1,Rest,0.5316909830470582,0.3200358888270023,278.0
PPRC1,Rest,0.5308136138075994,0.4753778784177572,68.0
KYAT3,Rest,0.5301054914756101,,10.0
MOV10,Rest,0.5293470301900031,0.0368842777499678,396.0
LARP7,Rest,0.5293236461360956,,28.0
RNF41,Rest,0.5286219385349301,0.2975557073824552,117.0
EIF3K,Rest,0.5272425897006796,0.5787462562778484,213.0
RBPJ,Rest,0.5270109694217628,0.7174830278512895,108.0
TMED2,Rest,0.5266975566927797,0.2446707889013036,125.0
MED12,Rest,0.5260477899340272,0.723523675656954,1390.0
ZC3H14,Rest,0.5257171909230647,,40.0
NARS2,Rest,0.5235534361562585,,51.0
MAU2,Rest,0.5216914617703702,0.4321479530475526,149.0
FBXO46,Rest,0.5216784471142338,,65.0
TTC4,Rest,0.5208056582259187,0.3974274378627851,145.0
ANKZF1,Rest,0.5207559745757161,0.1178067237363355,55.0
RPE,Rest,0.5204550355933012,,99.0
LIN37,Rest,0.5202052161244682,0.5701327363150552,139.0
FLCN,Rest,0.5200408994273831,,43.0
KHDRBS1,Rest,0.5196495786857153,0.1250671648707658,118.0
ACLY,Rest,0.5188496780501629,,311.0
MKS1,Rest,0.5186538946004035,,17.0
NCAPD3,Rest,0.5179168297479435,,23.0
ACTR8,Rest,0.5174597824273501,0.6525526811919207,337.0
LRRC8D,Rest,0.5173404523969422,,13.0
VARS2,Rest,0.515865321610359,0.001055385272541,168.0
CREB1,Rest,0.5156869717007421,0.556365444209905,272.0
BRD8,Rest,0.5138847452140567,0.4673158121898043,956.0
MTHFD1,Rest,0.513080499461761,0.3891763687218075,56.0
CCAR2,Rest,0.5130229453754406,,30.0
SCAP,Rest,0.5095701136880727,,32.0
ZCCHC8,Rest,0.5088508544815841,0.730232766064092,68.0
TBC1D22A,Rest,0.5086961107214407,,7.0
PTPA,Rest,0.5077144901170487,0.3521474883048389,231.0
UBR4,Rest,0.5076702929629253,0.6272948320310895,300.0
WAC,Rest,0.5075374276386466,0.6016524568909466,705.0
MCM8,Rest,0.5074327091292712,0.3702235607658073,121.0
SARNP,Rest,0.5068518814500604,,88.0
ZNF148,Rest,0.5063252602859795,0.0779539232310373,594.0
MYO9A,Rest,0.5054352358267127,0.4742866771835061,279.0
DHPS,Rest,0.5047446959217878,0.4784451321323884,150.0
YY1AP1,Rest,0.5045481369249079,,17.0
SMAD3,Rest,0.504494477295413,-0.1991874833838266,240.0
SP2,Rest,0.5043000437072672,0.7713852604433685,527.0
ARGLU1,Rest,0.5036553366923222,,73.0
COQ4,Rest,0.5033598119880467,0.7410920058249254,42.0
PHF20,Rest,0.5030893933602929,,90.0
RAB4A,Rest,0.5022468393676965,,16.0
ADRM1,Rest,0.5016735901698404,,47.0
RHOC,Rest,0.5015927755942476,0.3772274623039189,69.0
THOC6,Rest,0.500475580580306,0.6836734846260525,190.0
PHF12,Rest,0.5003493047201483,0.2990137867342913,187.0
MIA2,Rest,0.4978945563882824,0.5651379800380927,138.0
GRSF1,Rest,0.4974871572687673,,81.0
RANBP3,Rest,0.4973686743964892,0.5101705271922167,79.0
PDIA6,Rest,0.4971309997531126,0.5977799316417035,161.0
TBRG1,Rest,0.4966114326789433,,79.0
HDAC1,Rest,0.4958627886557091,0.5370500718302952,124.0
UNG,Rest,0.4958146156622006,,7.0
ARF1,Rest,0.4954111748235731,0.3657499897611792,259.0
NUDT22,Rest,0.4949597104815751,,24.0
WDR89,Rest,0.4949446880354079,,34.0
RFT1,Rest,0.4939657649862664,,35.0
MORF4L1,Rest,0.4918583591600515,,209.0
SLC39A6,Rest,0.4911369444762986,0.7057547758725585,182.0
AVL9,Rest,0.4910214219355243,,13.0
CDK13,Rest,0.4907698944188029,0.6008962720246177,413.0
DNAJC8,Rest,0.4900712305497037,0.6110640916135868,415.0
PCGF6,Rest,0.4896765409025835,,33.0
GTF2A2,Rest,0.48935971782484,,21.0
ZNF586,Rest,0.4891556622437779,,31.0
MMAB,Rest,0.4856058716562728,0.1578113360071698,344.0
ZNF507,Rest,0.4852762687746466,,33.0
SLC35B1,Rest,0.4852587595438818,0.3646185610033929,304.0
L3MBTL2,Rest,0.4852299202437007,0.7970887144561879,284.0
RTRAF,Rest,0.4849481527103615,0.6140002298229931,581.0
UBN1,Rest,0.4846597619350187,,66.0
P4HB,Rest,0.4844768201098501,0.6474813523517349,166.0
YBX1,Rest,0.4840235806648875,0.1983402167747752,30.0
PGS1,Rest,0.4838851284372575,0.427393320206436,141.0
EIF3L,Rest,0.4831849540509311,0.5952862847284363,82.0
RNF19B,Rest,0.4824203803842732,,77.0
GMEB1,Rest,0.4824107992540782,0.6102324662445288,386.0
CCDC69,Rest,0.4822827357146333,,15.0
RBM18,Rest,0.4818779082841671,,68.0
CDC25B,Rest,0.4808922397697208,0.4281310915168507,247.0
BLZF1,Rest,0.4807641929325015,0.611671265737508,73.0
SS18L2,Rest,0.4801608202936504,,31.0
CSDE1,Rest,0.4796800127563267,0.5368751814224545,589.0
CCDC93,Rest,0.4796771235082195,0.3070693079704121,74.0
ODC1,Rest,0.4796469195431854,,37.0
DCP2,Rest,0.4795494584918036,0.4018826908579771,350.0
MTRR,Rest,0.4790121677239888,0.7454857123365256,45.0
PPCS,Rest,0.4787927543826292,0.3057969125395989,240.0
KDM5A,Rest,0.4786904535734861,,23.0
TBPL1,Rest,0.4773603142313766,,68.0
FEN1,Rest,0.4761308191007614,,20.0
ATP23,Rest,0.4761306509269905,0.7247955300725156,82.0
BLVRA,Rest,0.4754340586657357,,8.0
TM9SF2,Rest,0.474965443688891,,35.0
UBE2E1,Rest,0.474200739259071,0.6576401732086671,78.0
LTB4R,Rest,0.4739563713348302,0.253835458264292,190.0
FBXW7,Rest,0.4730593503235961,0.7045873366547899,132.0
LAMTOR4,Rest,0.471881266068504,,137.0
SMG9,Rest,0.4711277629266103,0.6896856585386599,495.0
SLC4A1AP,Rest,0.4710441041624478,0.3454480748581023,175.0
DMAC2,Rest,0.4707819086060966,,11.0
TNRC6A,Rest,0.4707154794660363,0.4804241738626651,141.0
MIPEP,Rest,0.4691917494523515,0.5885623065593021,329.0
USP22,Rest,0.4691663584077938,0.6690849153302283,906.0
SCAF4,Rest,0.4689113192608886,0.7561526303613805,166.0
NDUFC1,Rest,0.4686470432729782,,25.0
CHTF18,Rest,0.4685341607748189,0.3071907222905544,103.0
RHBDD1,Rest,0.4680804249127286,,12.0
SENP5,Rest,0.4676993209235411,0.6429451568299313,1741.0
COX6C,Rest,0.4673555979837871,0.1074802037146859,217.0
XRRA1,Rest,0.4667293635839432,0.558369120481898,319.0
EIF3H,Rest,0.466238448689578,0.5634777857057793,306.0
TTC5,Rest,0.4659016181112264,0.4583774488740268,114.0
ZNF490,Rest,0.4657583847909574,,4.0
SS18,Rest,0.4656412265730902,,14.0
IBA57,Rest,0.465139164179107,,97.0
UGP2,Rest,0.4642386131042675,,18.0
RBM6,Rest,0.4637664090741013,,30.0
HEXIM1,Rest,0.463535577373446,0.7583762968764823,224.0
BCS1L,Rest,0.462339223972214,0.476046881905815,305.0
LRRC8B,Rest,0.4622523700593938,0.286413954858183,59.0
HCCS,Rest,0.4620550195123449,0.4762039502911241,381.0
C14orf119,Rest,0.4615304130609646,,51.0
ZNF92,Rest,0.4612763578708253,0.0678179557240911,124.0
POLG,Rest,0.4611234173175917,0.7043430851963303,197.0
BCLAF1,Rest,0.4606240337804161,0.8501569309288645,169.0
RIF1,Rest,0.4604244081231512,,50.0
SCARB1,Rest,0.4603079854366163,,48.0
HIPK3,Rest,0.4601525264727291,,12.0
METTL17,Rest,0.4601073965965674,,28.0
TMEM214,Rest,0.4594739587586098,0.6936629807725755,190.0
MANF,Rest,0.4591874385969972,0.550977296381085,89.0
PEX6,Rest,0.4584730835463152,-0.060417274268657,169.0
PGGT1B,Rest,0.4578634658712017,0.4241830517183884,257.0
POLG2,Rest,0.4577481703704355,,53.0
EWSR1,Rest,0.4577111918930229,0.6959820710922533,1008.0
EIF1,Rest,0.4576389544966104,0.5565381202053256,179.0
ATF7IP2,Rest,0.4576146470444253,0.2468876814600948,725.0
INPP5F,Rest,0.4571923366790928,0.3440670132254269,127.0
NDUFAF3,Rest,0.456825848251863,,69.0
IWS1,Rest,0.4567705130477117,0.5476100891288308,256.0
SNUPN,Rest,0.4562571150851823,-0.0210302343570616,16.0
LSM14A,Rest,0.455067393257564,0.2853384942306546,77.0
ISCA2,Rest,0.4548753082217407,0.5457873357230927,104.0
COX4I1,Rest,0.4546649341073993,0.4059764658335225,96.0
CNOT9,Rest,0.4541113062416863,0.0681258078044476,50.0
RPUSD3,Rest,0.453904214925291,,40.0
ATXN7L3,Rest,0.4537057807699918,0.5825455944089767,509.0
FNBP4,Rest,0.4530591812060963,0.2231395406764453,233.0
SNRPB2,Rest,0.4518934162765942,,88.0
CLCC1,Rest,0.4517378286739961,0.1194237454453148,272.0
UQCRB,Rest,0.450491727901339,0.5886719046094778,168.0
CMTR1,Rest,0.4500493082834093,0.4190831617189176,112.0
CDK5RAP3,Rest,0.4495326985050826,0.5941389823023578,139.0
ALAS1,Rest,0.4493911990356082,,7.0
PRCC,Rest,0.4492017474174338,,20.0
ARID2,Rest,0.448960873071933,0.4544816250104126,207.0
GPI,Rest,0.4489000095579973,0.7318368432441114,228.0
SMARCD2,Rest,0.4485180056906672,0.5383085262871878,39.0
RAB2B,Rest,0.4474165175377312,,74.0
GPAA1,Rest,0.4471432804144338,0.5103541327946751,61.0
RICTOR,Rest,0.4466794349730897,0.5312679586008725,110.0
NDUFB7,Rest,0.4452711264364981,,12.0
NSUN4,Rest,0.4449682777930166,0.7452124818798306,117.0
LRPPRC,Rest,0.4443584263530776,0.7083371725286173,385.0
TENT2,Rest,0.4433453730305264,-0.1550319376931932,262.0
EEF1E1,Rest,0.4433218712442529,,44.0
PTGES2,Rest,0.4431789291223231,,10.0
TGIF2,Rest,0.4428333410471811,,27.0
ZNF180,Rest,0.4422855220068462,,17.0
TOE1,Rest,0.4419342056748151,,49.0
CYC1,Rest,0.441710704984167,0.392285185238191,79.0
GLT8D1,Rest,0.4416932491378652,,7.0
ELF4,Rest,0.441662704738087,0.4422637279954586,67.0
ALG3,Rest,0.4416563440343738,,44.0
NR2C2AP,Rest,0.4411754394360364,,132.0
DNAJC30,Rest,0.440593138755207,,24.0
RCOR1,Rest,0.4405212768428721,0.6810092249270226,212.0
PPP6C,Rest,0.4398325810333493,0.226930783041133,86.0
SRR,Rest,0.4392642091433876,0.4474530203415261,282.0
TMX1,Rest,0.4391171461929449,,161.0
UQCRQ,Rest,0.4389084863325035,0.34573126698402,67.0
MDH2,Rest,0.4389074963861178,,20.0
ALG6,Rest,0.4385597145971565,0.5703592133772705,163.0
ZNF408,Rest,0.4378675072945845,,28.0
API5,Rest,0.4372840041115787,,22.0
SSBP1,Rest,0.4370439204892429,0.6619095017311497,219.0
NFKBIA,Rest,0.4367875123558541,,10.0
COX11,Rest,0.4363233440704278,0.2608887792194809,110.0
BRPF1,Rest,0.4362374449813356,0.4755354223607774,513.0
THAP12,Rest,0.4359028530539343,0.4528886006928705,297.0
ATF1,Rest,0.4355678170111319,,7.0
RBM26,Rest,0.4351810683763656,,29.0
RNF14,Rest,0.4351003020364986,,31.0
PDCD10,Rest,0.434939039590059,,118.0
COA5,Rest,0.4346065755713774,0.3173543011594839,98.0
ACOT7,Rest,0.4344030726388225,,98.0
CCDC6,Rest,0.4343369042435849,0.310707432112255,85.0
RNF181,Rest,0.4340986896620576,0.2322225536163674,90.0
TMEM97,Rest,0.432908402142855,,24.0
MED13,Rest,0.4325899200442087,0.8904911967164507,228.0
SUPT20H,Rest,0.432358079534708,0.5241776876553506,1666.0
MYSM1,Rest,0.4323004920381902,,30.0
SLC39A10,Rest,0.4317585559484447,,8.0
CTDSPL2,Rest,0.4317110115938656,0.6635640537483899,291.0
UFC1,Rest,0.4315353052729447,0.4063249724257274,71.0
COQ6,Rest,0.4314008011237878,,89.0
KAT2B,Rest,0.4313987530229063,,58.0
PLOD1,Rest,0.4312485341111544,,15.0
PUM1,Rest,0.431181740152507,0.5217552740640291,156.0
KRR1,Rest,0.431113085966462,0.2804440516671553,28.0
UBE2I,Rest,0.4310799412312528,0.5976252927723583,214.0
LCP2,Rest,0.4310320328187085,,258.0
TCEAL8,Rest,0.4309717840157456,,5.0
TRAM1,Rest,0.4302915495011043,,21.0
FAM122A,Rest,0.4301945448020116,0.0170423332123762,34.0
CDK2AP2,Rest,0.4300296511754278,,26.0
ZFP36L2,Rest,0.4299182641946205,,18.0
WBP4,Rest,0.4298348868960713,0.1513210250133464,83.0
COMMD7,Rest,0.4297881759657044,,21.0
CCDC22,Rest,0.4295849572895376,0.6813372193237024,74.0
TMEM116,Rest,0.4294686424566123,,6.0
PHF23,Rest,0.4290409753919035,0.4231264214307949,261.0
ATP5MF,Rest,0.42891615600735,0.2644285261552584,43.0
GPD2,Rest,0.4285068413256563,,22.0
C1D,Rest,0.427522851795257,0.2963007201381153,298.0
PKM,Rest,0.4274795048160292,0.7640336889515104,269.0
ATP5F1A,Rest,0.4272711343384489,0.2886240896467819,68.0
TARS2,Rest,0.4271872655427421,0.2566788126748692,393.0
KTN1,Rest,0.4271628971665615,,29.0
USP3,Rest,0.4268760381958435,,91.0
NCOA4,Rest,0.4266436189903256,,17.0
COQ10B,Rest,0.4264744278422053,,38.0
PRR12,Rest,0.4258156576866057,0.8502230988701954,86.0
EDC3,Rest,0.4254847606964208,-0.2203480592681668,330.0
NR2C2,Rest,0.425453581855054,0.615546622993849,200.0
TFAP4,Rest,0.4250868426054828,0.4600655639146587,127.0
DHX36,Rest,0.4244698147411812,0.6187924098967912,1008.0
SPTLC2,Rest,0.4244332869560422,0.2307419963357158,49.0
ZCCHC17,Rest,0.4242012966669007,,56.0
TUBE1,Rest,0.4237825560326461,,22.0
DPY19L4,Rest,0.4229776069272488,,35.0
SMARCA5,Rest,0.4226964590175552,0.6263183063468368,737.0
COQ9,Rest,0.4224437785659616,,7.0
TADA2B,Rest,0.4224303408264284,0.7022102745226017,2620.0
TFG,Rest,0.4215737838123683,,48.0
OSTC,Rest,0.4215667279414565,,12.0
CHUK,Rest,0.4215001827866509,,15.0
NDUFS8,Rest,0.4211463300001015,-0.040238275567415,64.0
TNPO1,Rest,0.4209044056297473,0.5869218837392648,519.0
PMVK,Rest,0.4207432877472536,0.6245901559444974,224.0
SERPINB9,Rest,0.4201615985670893,,17.0
TTC37,Rest,0.4199200446196965,,48.0
OTUB1,Rest,0.4199013013611786,0.4294350512578102,150.0
PAN3,Rest,0.4191784809629658,0.8677313220616716,185.0
COLGALT1,Rest,0.4187158436997523,,38.0
APEX1,Rest,0.4186798658270557,0.7907006032093583,178.0
NAT9,Rest,0.4184953680492922,,11.0
CHD4,Rest,0.417455853432656,0.6339158018393732,419.0
VAV1,Rest,0.4168655489244782,0.6357148501811208,547.0
PARN,Rest,0.4166870666969221,,7.0
SENP1,Rest,0.4165780582984382,0.7728264780390707,125.0
ZDHHC3,Rest,0.416372347494797,,40.0
TANK,Rest,0.4160542618206629,,27.0
PGK1,Rest,0.4156602255627298,0.4959015830395346,73.0
USP14,Rest,0.4144242854153771,,21.0
ATP5ME,Rest,0.4139773040493397,0.0003341550604081,103.0
PDCL,Rest,0.4137579763035756,0.5669122961303664,424.0
PRDX6,Rest,0.4134941324581295,,19.0
XBP1,Rest,0.4134265021421442,0.4806146480693393,247.0
FAM76B,Rest,0.413274618607684,,7.0
TMED9,Rest,0.4131101286228145,0.5626436565557187,568.0
SMARCD1,Rest,0.4130137009920341,0.4629770252175056,53.0
PDCD2L,Rest,0.4127716549422269,-0.0240785140828648,277.0
HDAC3,Rest,0.411862229344381,0.3262844907139347,209.0
EDF1,Rest,0.4117953588437798,,69.0
CERS2,Rest,0.4117085479190078,,32.0
GPSM3,Rest,0.4113900015517655,,9.0
UBE2A,Rest,0.4109674205482798,,10.0
CANX,Rest,0.4108611521460414,,37.0
STX10,Rest,0.4095036213691803,,19.0
CYB5R3,Rest,0.4094144941591967,,10.0
AUH,Rest,0.4093606378463992,,4.0
SLTM,Rest,0.4092690878185017,0.4267565048983505,55.0
UROS,Rest,0.4091028607200112,,13.0
RCC2,Rest,0.4086129940938283,,21.0
NCOR1,Rest,0.4085267930191435,0.6833982401945359,737.0
NUDT14,Rest,0.4082709877956285,,23.0
TM2D1,Rest,0.407820474808704,-0.0264266751423313,215.0
CARM1,Rest,0.4078141825966918,0.8075217798821432,223.0
EHMT2,Rest,0.407500699589421,0.7548044579185132,450.0
CNPY3,Rest,0.4072770462603152,,10.0
PIGF,Rest,0.4070913018867733,0.3328034741093188,33.0
PRICKLE3,Rest,0.4069453261635217,,16.0
YARS2,Rest,0.4069304372638318,,72.0
NUFIP2,Rest,0.4064099606503489,0.3057074830883469,63.0
CIAO2A,Rest,0.4063373174045269,,5.0
ERI3,Rest,0.4060881032941661,,4.0
JUNB,Rest,0.4055445895541449,0.5451495365246046,50.0
RNF7,Rest,0.4055407513927171,0.6498046007727359,25.0
KLF11,Rest,0.4053595332603013,,8.0
SRRD,Rest,0.405282566642351,0.8917392843088795,141.0
UBE4B,Rest,0.4052644672980078,,8.0
MLST8,Rest,0.405228995589203,0.4916013992545012,137.0
NFRKB,Rest,0.4048462397717397,0.73099709584576,1544.0
SIVA1,Rest,0.4047389194754567,,13.0
STX16,Rest,0.4045839358118978,0.0428961987234931,334.0
DPH2,Rest,0.4043166759590781,0.452980455236061,62.0
