gene,condition,guide_correlation,correlation_ceiling,n_signif_union
BHLHE40,Rest,0.7447541764630957,0.9109085640543146,97
BLZF1,Rest,0.1979736568653627,0.2736617761702796,1170
BRAT1,Rest,0.9782142592775572,0.9526010069933032,4
BRD1,Rest,0.144012778407177,0.8760006595745812,45
BRD7,Rest,0.877824631658337,0.9538716378351773,4
BRD8,Rest,0.5690320903224704,0.8451289337653469,733
BRD9,Rest,0.9232974153952273,0.9412878848725464,15
BRK1,Rest,0.7573862465377856,0.8051275631586463,66
BRMS1,Rest,0.7490661266032664,0.889756983432275,103
BRPF1,Rest,0.6461680453790479,0.8576426343581671,94
BTAF1,Rest,0.8290578281342357,0.9185419411686544,138
C1D,Rest,0.088671651662904,0.6941379384189283,175
C1orf21,Rest,-0.0486909151667818,0.1819072970242601,2390
C7orf55-LUC7L2,Rest,0.8635391735884409,0.9533196341965552,17
C8orf33,Rest,0.4586141396000147,0.6920548907608854,303
C9orf64,Rest,0.6989513703210012,0.6417904468799704,117
C16orf72,Rest,0.7333662054774674,0.9663501545107364,11
C16orf87,Rest,-0.039005650870635,0.5652503275155861,109
C18orf32,Rest,0.7602159603417505,0.5449740114866639,3
CACHD1,Rest,0.4237894030458686,0.7281398758823842,81
CALHM6,Rest,-0.2527334639284564,,25
CAMSAP1,Rest,0.501164538169771,,23
CAND1,Rest,0.8711518848511742,0.911967533943805,90
CAP1,Rest,0.7808587703553791,0.8423618407716079,105
CARD6,Rest,0.9924608063447192,0.9434399068118609,3
CARM1,Rest,0.5986890172082593,0.9696094613880452,9
CASC3,Rest,0.6211386313298708,0.8666929289036541,597
CASK,Rest,0.4117837548284247,0.8613174520418747,48
CASP9,Rest,0.6899063440231916,0.883166971043496,160
CBFA2T2,Rest,0.3276308579247355,0.7705989208036144,194
CBFB,Rest,0.731248980702065,0.8753304542968957,535
CBX3,Rest,0.9194967353935972,0.9057154491526644,27
CBX5,Rest,0.9986873673084044,0.995573740310329,4
CCDC22,Rest,0.9448234647760092,0.964930888170096,4
CCDC137,Rest,-0.1595675802571375,,150
CCDC138,Rest,0.5517670597826427,,55
CCL5,Rest,0.9815929828073487,0.9347568034582424,4
CCNA2,Rest,0.6400257290519524,0.2701830170184539,39
CCNC,Rest,0.3235936238070167,0.5078521116374691,813
CCND2,Rest,0.8136453271819676,0.7899072676728462,286
CCNF,Rest,0.779806857985189,0.8053097609348914,163
CCR4,Rest,0.5454596458403934,0.6484555395760623,592
CCR10,Rest,0.8229902042615409,,4
CD2BP2,Rest,0.4967230422558903,0.660508423903731,11
CD244,Rest,0.4458920686685104,,13
CDADC1,Rest,-0.0569483950950664,0.7350270242296156,100
CDC25B,Rest,0.2747202251682822,0.8454062683835794,950
CDC34,Rest,0.455712458749184,0.9546247863482368,8
CDCA3,Rest,-0.0876699638678741,0.6127144794633033,173
