cluster,manual_annotation,best_described_by,condition_specificity,cluster_size,cluster_gene_size,intracluster_corr,rest_count,stim8hr_count,stim48hr_count,n_member_gene_conditions,n_member_genes,mean_regulator_score,top_members,best_autoimmune_or,min_autoimmune_fdr,is_autoimmune_enriched
35.0,unknown,"mostly uncharacterized, incl. CTLH, C-terminal LisH motif, and Fez1",across_condition,51,37,0.188836312,15,32,4,51,37,4.509803921568627,ADAM19;AK3;IL12RB2;LMTK2;LTB4R;PIGB;RAB11FIP1;RASGRP1,1.4959242200659115,0.1374016880412281,False
25.0,unknown,"mixed, incl. Protein FAM81, and Bacterial Ig-like domain 2",Rest,16,14,0.149448409,14,1,1,16,14,5.0,DNTTIP1;GATA3;HEXD;KMT2C;PAN3;SBNO1;TPD52;UFC1,1.491011197630244,0.1448631881674471,False
77.0,unknown,"TSC1-TSC2 complex, and Ribosomal S6 kinase, N-terminal catalytic domain",Stim48hr,84,84,0.252692306,0,0,84,84,84,4.428571428571429,BZW2;HNRNPD;PDCL;RC3H1;RP9;TP53;TSC1;TSC2,1.5727418489379588,0.1498940557243038,False
34.0,peptidyl-diphthamide metabolism,Peptidyl-diphthamide metabolic process,across_condition,6,6,0.293046792,0,6,0,6,6,5.166666666666667,DNAJC24;DPH1;DPH5;DPH6;TPT1;TTC4,1.4180119825861357,0.1630708735535403,False
8.0,peptidyl-diphthamide metabolism,Peptidyl-diphthamide metabolic process,across_condition,11,7,0.229311684,5,0,6,11,7,4.909090909090909,DNAJC24;DPH1;DPH2;DPH5;DPH6;TPT1;TTC4,1.4180119825861357,0.1630708735535403,False
69.0,unknown,"mRNA processing, and K Homology domain, type 1",across_condition,9,7,0.079891459,7,1,1,9,7,5.0,CREB1;DHX9;IPO9;KEAP1;MYO18A;PCBP1;TIMM9,1.748567365510926,0.1653368300544566,False
27.0,unknown,"mixed, incl. Essential tremor 5, and Glioma pathogenesis-related protein 1-like, SCP domain",Rest,215,215,0.385659526,215,0,0,215,215,4.339534883720931,EIF4G2;ETNK1;FBXO32;INSR;NCKAP1L;RBM10;SP100;TP53,1.3424181576295586,0.1796290933566156,False
96.0,unknown,"Fanconi anaemia nuclear complex, and Fanconi anemia complementation group I",across_condition,83,83,0.190192795,0,83,0,83,83,4.963855421686747,HEXIM1;IFNGR1;INPP5F;OTUB1;PRKAR1A;RPE;SRM;UBR5,1.3347063547071325,0.1821998857188458,False
30.0,unknown,"mixed, incl. Adermatoglyphia, and Regulation of transposon integration",Rest,87,87,0.222387607,87,0,0,87,87,4.218390804597701,ATP1B3;ATP2A2;BRK1;CAND1;CAP1;CLCC1;CUL3;IST1,1.4724528256082936,0.184022045646492,False
74.0,unknown,"mixed, incl. Protein FAM81, and Bacterial Ig-like domain 2",across_condition,11,11,0.260503544,0,0,11,11,11,4.0,CARD6;DCAKD;DRAP1;FBXL15;HSDL2;MMAB;UBE2E2;WDR54,1.4959242200659115,0.197622644541854,False
19.0,NCOR/HDAC3 complex,"Loss of MECP2 binding ability to the NCoR/SMRT complex, and Y-linked deafness 2",across_condition,12,6,0.153912879,5,6,1,12,6,5.833333333333333,ATXN2L;HDAC3;LSM12;NCOR1;RELL2;TBL1XR1,1.5727418489379588,0.2079047221574446,False
95.0,unknown,"SAGA-type complex, and TATA-box binding protein",Stim48hr,21,21,0.216204685,0,0,21,21,21,5.571428571428571,BTAF1;CDK2;CFAP20;EIF4G2;MBIP;MTHFD1L;PGP;SLC25A28,1.7235164756472985,0.2120337181219176,False
98.0,unknown,"mixed, incl. Protein FAM81, and Bacterial Ig-like domain 2",across_condition,7,7,0.298986119,0,0,7,7,7,5.285714285714286,AIP;ARIH1;MCM8;MTHFD2;PRKAR1A;PTMA;STK11,1.5535715630688645,0.2332553681362801,False
10.0,mediator-SAGA,SAGA complex,across_condition,70,42,0.340361801,29,41,0,70,42,4.957142857142857,MED12;MED24;SGF29;SLC4A1AP;SUPT7L;TADA2B;TAF6L;USP22,1.3937642327415058,0.2466953134094756,False
61.0,unknown,"cullin-RING ubiquitin ligase complex, and Protein neddylation",across_condition,19,19,0.323102294,0,19,0,19,19,4.2105263157894735,DCAKD;KPNA1;KRBA2;PCBP2;SIRT7;UBXN1;WDR54;ZMAT1,1.411698228230678,0.2612550903410059,False
85.0,unknown,JAK-STAT signaling pathway,Stim48hr,7,7,0.186316644,0,0,7,7,7,5.285714285714286,AKAP17A;DMRTA2;IL4R;NR2C2;RBPJ;STAT6;UQCRC2,1.3424181576295586,0.2726123039843565,False
105.0,unknown,"Clathrin coat, and Presynaptic endocytosis",Rest,37,36,0.350066553,36,1,0,37,36,4.972972972972973,CASP9;CCND2;CUL4B;ITM2B;PCNX4;RNF111;SH3GL1;SNTB1,1.3424181576295586,0.317557133410289,False
51.0,Oxidative phosphorylation,Formation of ATP by chemiosmotic coupling,across_condition,23,23,0.205431944,23,0,0,23,23,4.956521739130435,ATP5PO;CREBBP;DOLPP1;EIF1;FOXO1;RPTOR;SLC25A51;TET2,1.4180119825861357,0.3657939608699701,False
44.0,unknown,"mixed, incl. GPVI-mediated activation cascade, and Insulin receptor binding",across_condition,12,12,0.256038245,0,12,0,12,12,4.75,CFAP298;HPS1;IL21;LAT2;NSUN2;PIK3R4;SHLD1;ZNF649,1.4180119825861357,0.3691789214611878,False
107.0,unknown,"mixed, incl. Protein FAM81, and Bacterial Ig-like domain 2",Stim48hr,9,9,0.313915367,0,0,9,9,9,4.666666666666667,CCDC136;CHTF18;CTDSP2;CTSO;DTWD1;HRAS;MLYCD;THAP12,1.5932123224752288,0.4555344982863754,False
26.0,unknown,"mixed, incl. Fatty acid metabolism, and Regulation of lipid storage",Rest,26,23,0.157826484,23,2,1,26,23,5.0,LIN37;MAU2;NSD1;PHF3;SPOP;XPR1;ZBTB1;ZSCAN25,1.3347063547071325,0.4692805179322179,False
67.0,unknown,"mixed, incl. Protein FAM81, and Bacterial Ig-like domain 2",Stim8hr,6,6,0.177928008,0,6,0,6,6,4.833333333333333,ARSK;AVEN;C1S;POLR3H;SKIC3;TXNDC9,2.4845727256336785,0.4752389449496826,False
111.0,Arp2/3 and CCC complex,COMM domain,Stim48hr,10,10,0.34372345,0,0,10,10,10,5.2,ACTR2;ARPC2;ARPC3;CCDC93;COMMD10;COMMD4;COMMD8;VPS8,1.1978196174537596,0.4834796916957759,False
31.0,Ragulator-Rag complex,Amino acids regulate mTORC1,across_condition,12,12,0.379515033,0,0,12,12,12,5.083333333333333,LAMTOR2;LAMTOR4;LAMTOR5;MIOS;RRAGA;RRAGC;TMEM214;WDR59,1.3174084047922283,0.4915419699078073,False
60.0,unknown,"Cul4-RING E3 ubiquitin ligase complex, and Signalosome",Rest_Stim8hr,50,50,0.349609968,0,50,0,50,50,4.12,ATF7IP2;CCDC138;CLCC1;EDC3;GZMB;HDAC1;NFKBIL1;TENT2,1.4724528256082936,0.5023610146606422,False
97.0,unknown,"mixed, incl. Protein FAM81, and Bacterial Ig-like domain 2",across_condition,8,8,0.094331713,0,8,0,8,8,5.125,BRD9;HAPSTR1;HMGXB3;HSPA14;NDOR1;QNG1;YPEL2;ZNF131,1.4110211123706995,0.5314022598279134,False
76.0,EMC complex,EMC complex,Stim48hr,78,78,0.152865547,0,0,78,78,78,4.782051282051282,ADNP2;DNTTIP1;MMGT1;NXT1;RBM5;RNFT2;TMEM167A;TRIP12,1.1167649062668463,0.5315836820135443,False
