,target_contrast_gene_name,logfc_pearson_r,logfc_pearson_pval,random_r1,random_r2,random_r3,comparison,condition,donor_correlation_mean,n_degs_MASH_K562,n_degs_MASH_Rest,n_degs_MASH_Stim48hr,n_degs_MASH_Stim8hr
34,NUDCD1,0.6272498409053252,0.0,0.023876856407935253,-0.02019679750981791,0.03197606154640388,K562 vs CD4+T (Rest),Rest,0.7259430086890365,19.0,487.0,646.0,549.0
35,MLX,0.627042849458803,0.0,-0.0013476885270536313,0.010703307513862916,0.027882277294296973,K562 vs CD4+T (Rest),Rest,0.3576187182385288,5.0,32.0,29.0,36.0
36,INTS10,0.6241474468694531,0.0,0.03674195405613023,0.04224797717948912,0.009409377586398796,K562 vs CD4+T (Rest),Rest,0.521451218010777,92.0,657.0,763.0,728.0
37,AP1B1,0.6208501751946569,0.0,0.02760650479484917,0.01600209187460873,0.006315333388858,K562 vs CD4+T (Rest),Rest,,13.0,8.0,8.0,8.0
38,PPP1R3D,0.6202721749690359,0.0,-0.024615817717944487,0.023939550136438704,-0.0038623216862193298,K562 vs CD4+T (Rest),Rest,,5.0,7.0,8.0,7.0
39,PRRC2A,0.6198756007664408,0.0,0.01223040997407825,0.020160805739863077,0.027093273846892946,K562 vs CD4+T (Rest),Rest,0.6234965215765741,10.0,85.0,95.0,98.0
40,DDRGK1,0.6193078658689647,0.0,-0.024459715540146268,-0.00923133851035886,-0.06259166083282655,K562 vs CD4+T (Rest),Rest,0.4323014983392265,32.0,755.0,707.0,720.0
41,THRAP3,0.6191446995361425,0.0,-0.024263941251977842,0.0033924141428012655,0.0016901748724577883,K562 vs CD4+T (Rest),Rest,0.6661436964172315,28.0,378.0,313.0,384.0
42,WDR61,0.6188425781933369,0.0,0.025668569251726836,-0.018257036881072122,0.04697514722109146,K562 vs CD4+T (Rest),Rest,0.6037361946258698,93.0,544.0,635.0,599.0
43,SLC31A1,0.6181615941847107,0.0,0.029676014224030337,0.02132980739807911,0.0805162730117211,K562 vs CD4+T (Rest),Rest,0.4330031719168992,10.0,278.0,196.0,272.0
44,YTHDF2,0.6159907870726579,0.0,0.020126159641593082,-0.005043575248466211,-0.0004469105476120048,K562 vs CD4+T (Rest),Rest,0.5197525074923842,5.0,721.0,897.0,780.0
45,LEO1,0.615936165570546,0.0,0.0006788975121641483,0.056769042396660564,0.00279443773517571,K562 vs CD4+T (Rest),Rest,0.6229945740620985,37.0,1195.0,1000.0,1210.0
46,NUDCD2,0.6151242920751813,0.0,0.020356680316854527,0.007906048246209602,0.00506949861746395,K562 vs CD4+T (Rest),Rest,,10.0,19.0,23.0,22.0
47,STIP1,0.6093821576511121,0.0,0.029637883521787874,-0.024945399771043427,0.0577241798173084,K562 vs CD4+T (Rest),Rest,0.6028995162685088,6.0,412.0,458.0,429.0
48,MCTS1,0.6084664292455408,0.0,0.000199538360416809,0.08041437282639663,0.10228334008040275,K562 vs CD4+T (Rest),Rest,0.6883509578862975,45.0,749.0,773.0,761.0
49,SIN3B,0.6080758937185775,0.0,0.020064588891765153,0.010043771516267341,0.02232735183020259,K562 vs CD4+T (Rest),Rest,0.5822105468803943,19.0,900.0,923.0,910.0
50,STYXL1,0.6071239861241853,0.0,-0.003490092292893084,0.0252854460611247,0.012867318183832471,K562 vs CD4+T (Rest),Rest,0.3923107412191608,20.0,231.0,234.0,272.0
